,batsman,total_batsman
398,RS Gavaskar,2
399,A Singh,2
400,Mashrafe Mortaza,2
401,KP Appanna,2
402,SB Wagh,2
403,RG More,2
404,Mohammad Ashraful,2
405,VS Yeligati,2
406,H Das,2
407,Shoaib Akhtar,2
408,AS Rajpoot,2
409,YS Chahal,2
410,Shoaib Ahmed,1
411,DP Vijaykumar,1
412,PM Sarvesh Kumar,1
413,BE Hendricks,1
414,SE Bond,1
415,M de Lange,1
416,NJ Rimmington,1
417,DJ Muthuswami,1
418,P Parameswaran,1
419,V Pratap Singh,0
420,S Kaushik,0
421,Sandeep Sharma (1),0
422,A Zampa,0
423,U Kaul,0
424,IC Pandey,0
425,Sunny Gupta,0
426,Swapnil Singh,0
427,RR Bhatkal,0
428,S Ladda,0
429,Abdur Razzak,0
430,ND Doshi,0
431,L Ablish,0
432,M Ashwin,0
433,PJ Cummins,0
434,C Nanda,0
435,YA Abdulla,0
